S.No,Name,Latitude,Longitude
1,PHC KHUN KHUN KALAN,31.7426,75.6728
2,PHC BADLA,31.8885,75.7707
3,PHC GHOGRA,31.8682,75.6914
4,PHC Chakowal,31.5506,75.7862
5,PHC Baghpur,31.5804,75.8851
6,PHC Soos,31.5393,75.7227
7,PHC Bullowal,31.5889,75.7757
8,PHC Nasrala,31.4930,75.8314
9,PHC POSSI,31.2674,76.0519
10,PHC PALDI,31.3270,75.9966
11,PHC Barian Kalan,31.3859,76.0015
12,PHC Sarhala Kalan,31.3431,75.9506
13,PHC Jaijon,31.3465,76.1464
14,PHC Ajnoha,31.3310,75.8951
15,PHC Chabewal,31.4450,75.9879
16,PHC Phuglana,31.3891,75.8290
17,PHC Mehlanwali,31.4897,75.9895
18,PHC Jallowal,31.4017,75.9477
19,PHC Binjon,31.2709,76.0011
20,PHC Rampur Bilron,31.2675,76.1315
21,PHC PANAM,31.1799,76.1606
22,PHC PADRANA,31.2677,76.0942
23,Bolina,31.3459,75.6530
24,PHC RANDHAWA MASANDA,31.3886,75.5769
25,PHC CHITTI,31.2361,75.4773
26,PHC Nagar,31.0434,75.8369
27,PHC DYALPUR,31.0571,75.9098
28,PHC DOSANJ KALAN,31.1662,75.8392
29,PHC Attari,31.6045,74.6080
30,PHC Mullanpur,30.8460,75.6744
31,PHC Talwandi Bhai,30.8555,74.9314
32,PHC Mudki,30.7760,74.8822
33,PHC Lallay,30.8438,74.8942
34,PHC Sulhani,30.8772,74.8635
35,PHC Mallwal Qadim,30.9044,74.6767
36,PHC Bhangla,32.0169,75.6132
37,PHC Behbal Manj,32.0064,75.6629
38,PHC Chanour,32.0566,75.6515
39,PHC Tanda Ram Shai,31.9229,75.5897
40,PHC Uggi,31.2134,75.4270
41,PHC Mand,31.6513,75.3981
42,UPHC Hadiabad,31.2205,75.7485
43,UPHC Gate Khazana,31.6218,74.8661
44,CD Aman Nagar,31.3508,75.5868
45,PHC Hari Nau,30.4990,74.7939
46,PHC Daulatpura Niwan,30.8744,75.0265
47,PHC Baluana,30.1699,74.2841
48,PHC Nathuwala,30.7227,74.9814
49,PHC KHIZRABAD,30.8743,76.6550
50,PHC Ratoul,31.5152,74.9283
51,PHC Bhullar,31.8587,75.2165
52,PHC BOOTHGARH,30.8340,76.6867
53,PHC Alamwala,30.2616,74.4180
54,PHC Gharam,30.1209,76.4810
55,RH Chappa,30.5501,75.6502
56,PHC Derra Sahib,31.3194,75.0325
57,PHC Behram,31.2046,75.8936
58,PHC Behrampur Zimidara,30.9095,76.5282
59,PHC Arjanwala,31.4183,75.6966
60,PHC Rupewal,31.1493,75.3057
61,UPHC Araika Mohalla,31.3780,75.3750
62,PHC Bhamarsi Buland,30.5712,76.3175
63,PHC Kuthala,30.5301,75.7606
64,PHC Khatkar kalan,31.1704,76.0297
65,PHC Sahiba,31.1463,76.2665
66,PHC Malian Kalan,31.1824,75.4149
67,Buttran,31.5472,75.5810
68,Bhai Daya SIngh Memorial Sattelite Hospital,31.6578,74.9074
69,PHC Mallowal,30.5551,76.1436
70,PHC Harpalpur,30.3969,76.5968
71,PHC Kanianwali,30.6254,74.5220
72,PHC Miani,31.7052,75.5716
73,PHC Khatwan,30.0089,74.1752
74,PHC Rori Kapura,30.4439,74.8161
75,PHC Gopalpur,30.4540,76.5170
76,PHC Kamam,31.1246,76.0198
77,UPHC Bhagtanwala,31.6107,74.8722
78,PHC Bhanohar,30.8494,75.7080
79,Bhai Himmat Singh Memorial Sattelite Hospital,31.6386,74.8086
80,PHC Kheri Gurna,30.4902,76.7162
81,PHC Buttar Kalan,30.7274,75.2737
82,PHC Bhadla,30.6919,76.2893
83,PHC Sarih,31.1425,75.5595
84,CD Garha,31.2966,75.5985
85,PHC Panniwala,30.3140,74.3261
86,PHC Natheha,29.8402,75.1718
87,UPHC Basti Nau,31.3256,75.5535
88,PHC Khandala Sheikhar,31.6676,75.6987
89,PHC Satkoha,31.8688,75.2857
90,PHC Chhajli,30.0390,75.8203
91,PHC Chohla Sahib,31.2609,74.9977
92,UPHC Beant Nagar,30.2068,74.9646
93,PHC Lopon,30.6790,75.3411
94,PHC Hamidi,30.4637,75.6045
95,PHC Madhopur,32.3657,75.5986
96,PHC Mansooran,30.8062,75.7620
97,PHC Bhodi Pura,30.5426,75.1565
98,PHC Gidderpindi,31.1557,75.1270
99,PHC Bhalwan,30.3239,75.9475
100,PHC Lamochar Kalan,30.5732,74.1649
101,PHC Bhai Ka Kera,30.0766,74.4152
102,PHC Khosa Randhir,30.8946,75.1282
103,PHC Wadala Granthian,31.8189,75.2932
104,PHC Ghawaddi,30.7828,75.8945
105,Bilga,31.0563,75.6578
106,PHC Dharamkot,30.9407,75.2323
107,PHC Kaler,31.6742,74.7570
108,PHC Jodhan,30.7943,75.7512
109,PHC Kanjhla,30.3108,75.7672
110,PHC Mehdudana,30.8063,76.0956
111,PHC Chandnawan,30.7548,75.0874
112,PHC Sawadi Kalan,30.8703,75.5799
113,PHC Purain,30.9161,75.6193
114,PHC Gurusar Madhir,30.2888,74.6186
115,UPHC Sandhu Patti,30.3805,75.5509
116,PHC Mullepur,30.5012,76.4295
117,PHC Gajewas,30.2004,76.0999
118,Pandori Nijjran,31.4575,75.7232
119,PHC Sanghol,30.7842,76.3921
120,PHC Kakrala,30.0680,76.1422
121,PHC Khera Gajju,30.5852,76.6323
122,PHC Gaggarpur,30.2008,75.9013
123,PHC Roshanpur Jhungia,30.3075,76.6178
124,PHC Mehlan,30.1520,75.9015
125,PHC Dhotian,31.3726,75.0037
126,PHC Jaura Chittran,32.0169,75.2929
127,PHC Palahi,31.2589,75.7597
128,PHC Bharri,30.7439,76.3101
129,PHC Rajasansi,31.7217,74.8013
130,PHC Arno,29.8582,76.2112
131,PHC GHARUAN,30.7759,76.5578
132,PHC Rajoke,31.2784,74.5506
133,PHC Kalianpur,31.9827,75.3232
134,PHC Sapror,31.2543,75.7296
135,PHC Jhoke Harihar,30.8670,74.6093
136,PHC Muzafarpur,31.0433,76.2261
137,PHC Rauni,30.6022,76.0822
